msg_size time time_norm
2040000 1.780000 0.008900
2050000 1.790000 0.008950
2060000 1.810000 0.009050
2070000 1.800000 0.009000
2080000 1.810000 0.009050
2090000 1.820000 0.009100
2100000 1.830000 0.009150
2110000 1.830000 0.009150
2120000 1.850000 0.009250
2130000 1.850000 0.009250
2140000 1.860000 0.009300
2150000 1.880000 0.009400
2160000 1.870000 0.009350
2170000 1.880000 0.009400
2180000 1.890000 0.009450
2190000 1.890000 0.009450
2200000 1.920000 0.009600
2210000 1.930000 0.009650
2220000 1.940000 0.009700
2230000 1.960000 0.009800
2240000 1.970000 0.009850
2250000 1.980000 0.009900
2260000 1.970000 0.009850
2270000 1.960000 0.009800
2280000 1.970000 0.009850
2290000 1.990000 0.009950
2300000 2.010000 0.010050
2310000 2.030000 0.010150
2320000 2.030000 0.010150
2330000 2.040000 0.010200
2340000 2.060000 0.010300
2350000 2.060000 0.010300
2360000 2.070000 0.010350
2370000 2.050000 0.010250
2380000 2.050000 0.010250
2390000 2.050000 0.010250
2400000 2.070000 0.010350
2410000 2.100000 0.010500
2420000 2.110000 0.010550
2430000 2.130000 0.010650
2440000 2.140000 0.010700
2450000 2.150000 0.010750
2460000 2.160000 0.010800
2470000 2.160000 0.010800
2480000 2.170000 0.010850
2490000 2.150000 0.010750
2500000 2.150000 0.010750
2510000 2.160000 0.010800
2520000 2.200000 0.011000
2530000 2.220000 0.011100
2540000 2.230000 0.011150
2550000 2.220000 0.011100
2560000 2.220000 0.011100
2570000 2.230000 0.011150
2580000 2.220000 0.011100
2590000 2.230000 0.011150
2600000 2.240000 0.011200
2610000 2.260000 0.011300
2620000 2.290000 0.011450
2630000 2.300000 0.011500
2640000 2.320000 0.011600
